nohup: ignoring input
=== Starting Finetuning (Stage 2) ===
Config: configs/param1-0-recalibrate.yaml
Checkpoint Dir: checkpoints/param1-0-recalibrate
ModelWrapper: Detected 27 prunable blocks (Conv1+Conv2 pairs).
>> Loading Stage 1 weights from checkpoints/param1-0-recalibrate/student_model.pth
>> Pruning Mask loaded. Applying initial pruning...
>> Optimizer reset: LR=0.1, Epochs=200, WD=0.0001
Epoch 68/200 | Loss: 0.1690 | Val Acc: 0.8878 | LR: 0.10000
Epoch 69/200 | Loss: 0.1738 | Val Acc: 0.8868 | LR: 0.10000
Epoch 70/200 | Loss: 0.1692 | Val Acc: 0.8827 | LR: 0.10000
Epoch 71/200 | Loss: 0.1709 | Val Acc: 0.8576 | LR: 0.10000
Epoch 72/200 | Loss: 0.1651 | Val Acc: 0.8797 | LR: 0.10000
Epoch 73/200 | Loss: 0.1694 | Val Acc: 0.8745 | LR: 0.10000
Epoch 74/200 | Loss: 0.1698 | Val Acc: 0.8746 | LR: 0.10000
Epoch 75/200 | Loss: 0.1750 | Val Acc: 0.8655 | LR: 0.10000
Epoch 76/200 | Loss: 0.1703 | Val Acc: 0.8811 | LR: 0.10000
Epoch 77/200 | Loss: 0.1693 | Val Acc: 0.8865 | LR: 0.10000
Epoch 78/200 | Loss: 0.1676 | Val Acc: 0.8806 | LR: 0.10000
Epoch 79/200 | Loss: 0.1648 | Val Acc: 0.8718 | LR: 0.10000
Epoch 80/200 | Loss: 0.1731 | Val Acc: 0.8869 | LR: 0.10000
Epoch 81/200 | Loss: 0.1625 | Val Acc: 0.8750 | LR: 0.10000
Epoch 82/200 | Loss: 0.1654 | Val Acc: 0.8695 | LR: 0.10000
Epoch 83/200 | Loss: 0.1688 | Val Acc: 0.8714 | LR: 0.10000
Epoch 84/200 | Loss: 0.1679 | Val Acc: 0.8635 | LR: 0.10000
Epoch 85/200 | Loss: 0.1645 | Val Acc: 0.8836 | LR: 0.10000
Epoch 86/200 | Loss: 0.1701 | Val Acc: 0.8773 | LR: 0.10000
Epoch 87/200 | Loss: 0.1637 | Val Acc: 0.8837 | LR: 0.10000
Epoch 88/200 | Loss: 0.1686 | Val Acc: 0.8837 | LR: 0.10000
Epoch 89/200 | Loss: 0.1655 | Val Acc: 0.8849 | LR: 0.10000
Epoch 90/200 | Loss: 0.1680 | Val Acc: 0.8837 | LR: 0.10000
Epoch 91/200 | Loss: 0.1686 | Val Acc: 0.8836 | LR: 0.10000
Epoch 92/200 | Loss: 0.1667 | Val Acc: 0.8648 | LR: 0.10000
Epoch 93/200 | Loss: 0.1626 | Val Acc: 0.8527 | LR: 0.10000
Epoch 94/200 | Loss: 0.1741 | Val Acc: 0.8870 | LR: 0.10000
Epoch 95/200 | Loss: 0.1611 | Val Acc: 0.8832 | LR: 0.10000
Epoch 96/200 | Loss: 0.1618 | Val Acc: 0.8797 | LR: 0.10000
Epoch 97/200 | Loss: 0.1718 | Val Acc: 0.8852 | LR: 0.10000
Epoch 98/200 | Loss: 0.1658 | Val Acc: 0.8613 | LR: 0.10000
Epoch 99/200 | Loss: 0.1637 | Val Acc: 0.8906 | LR: 0.10000
Epoch 100/200 | Loss: 0.1622 | Val Acc: 0.8871 | LR: 0.01000
Epoch 101/200 | Loss: 0.0857 | Val Acc: 0.9247 | LR: 0.01000
   >> New Best Saved! (0.9247)
Epoch 102/200 | Loss: 0.0597 | Val Acc: 0.9274 | LR: 0.01000
   >> New Best Saved! (0.9274)
Epoch 103/200 | Loss: 0.0495 | Val Acc: 0.9288 | LR: 0.01000
   >> New Best Saved! (0.9288)
Epoch 104/200 | Loss: 0.0430 | Val Acc: 0.9295 | LR: 0.01000
   >> New Best Saved! (0.9295)
Epoch 105/200 | Loss: 0.0392 | Val Acc: 0.9321 | LR: 0.01000
   >> New Best Saved! (0.9321)
Epoch 106/200 | Loss: 0.0366 | Val Acc: 0.9321 | LR: 0.01000
Epoch 107/200 | Loss: 0.0335 | Val Acc: 0.9318 | LR: 0.01000
Epoch 108/200 | Loss: 0.0314 | Val Acc: 0.9307 | LR: 0.01000
Epoch 109/200 | Loss: 0.0299 | Val Acc: 0.9332 | LR: 0.01000
   >> New Best Saved! (0.9332)
